Date;TIME_PERIOD;Total_Claims_USD_Millions
2020-01-01;2020-Q1;81977,515
2020-02-01;2020-Q1;81977,515
2020-03-01;2020-Q1;81977,515
2020-04-01;2020-Q2;83922,916
2020-05-01;2020-Q2;83922,916
2020-06-01;2020-Q2;83922,916
2020-07-01;2020-Q3;94388,717
2020-08-01;2020-Q3;94388,717
2020-09-01;2020-Q3;94388,717
2020-10-01;2020-Q4;84070,944
2020-11-01;2020-Q4;84070,944
2020-12-01;2020-Q4;84070,944
2021-01-01;2021-Q1;97926,990
2021-02-01;2021-Q1;97926,990
2021-03-01;2021-Q1;97926,990
2021-04-01;2021-Q2;90431,488
2021-05-01;2021-Q2;90431,488
2021-06-01;2021-Q2;90431,488
2021-07-01;2021-Q3;81781,161
2021-08-01;2021-Q3;81781,161
2021-09-01;2021-Q3;81781,161
2021-10-01;2021-Q4;82382,419
2021-11-01;2021-Q4;82382,419
2021-12-01;2021-Q4;82382,419
2022-01-01;2022-Q1;83156,759
2022-02-01;2022-Q1;83156,759
2022-03-01;2022-Q1;83156,759
2022-04-01;2022-Q2;84823,481
2022-05-01;2022-Q2;84823,481
2022-06-01;2022-Q2;84823,481
2022-07-01;2022-Q3;82902,563
2022-08-01;2022-Q3;82902,563
2022-09-01;2022-Q3;82902,563
2022-10-01;2022-Q4;72168,014
2022-11-01;2022-Q4;72168,014
2022-12-01;2022-Q4;72168,014
2023-01-01;2023-Q1;73930,287
2023-02-01;2023-Q1;73930,287
2023-03-01;2023-Q1;73930,287
2023-04-01;2023-Q2;69054,181
2023-05-01;2023-Q2;69054,181
2023-06-01;2023-Q2;69054,181
2023-07-01;2023-Q3;80315,476
2023-08-01;2023-Q3;80315,476
2023-09-01;2023-Q3;80315,476
2023-10-01;2023-Q4;75997,937
2023-11-01;2023-Q4;75997,937
2023-12-01;2023-Q4;75997,937
2024-01-01;2024-Q1;83848,269
2024-02-01;2024-Q1;83848,269
2024-03-01;2024-Q1;83848,269
2024-04-01;2024-Q2;78980,782
2024-05-01;2024-Q2;78980,782
2024-06-01;2024-Q2;78980,782
2024-07-01;2024-Q3;77263,897
2024-08-01;2024-Q3;77263,897
2024-09-01;2024-Q3;77263,897
2024-10-01;2024-Q4;66010,181
2024-11-01;2024-Q4;66010,181
2024-12-01;2024-Q4;66010,181
2025-01-01;2025-Q1;56620,957
2025-02-01;2025-Q1;56620,957
2025-03-01;2025-Q1;56620,957
2025-04-01;2025-Q2;60370,576
2025-05-01;2025-Q2;60370,576
2025-06-01;2025-Q2;60370,576
